                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7442,                 1.7156,                 2.5849,                0.95671,                0.98955,                0.99412,                0.51119,                 1.4618,                 1.4875,                 2.4545,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.9547,                 1.6784,                 2.6962,                0.45815,                0.73134,                0.45886,                0.25392,                 1.5703,                 2.0034,                 2.6278,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.8667,                 1.6509,                 2.7326,                0.29684,                0.59701,                0.33553,                0.16751,                 1.3908,                  2.342,                 2.5595,               0.001307,               0.001307,               0.001307
                     38,                 1.8084,                 1.5921,                 2.4865,                0.53873,                0.17446,                0.30232,                 0.1782,                 1.4405,                 2.7236,                 2.5462,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.7031,                 1.4785,                 2.4668,                0.72996,                0.56489,                0.74962,                0.50239,                 1.3382,                 2.1166,                 2.3552,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.9027,                 1.5292,                 2.5705,                0.98519,                0.99296,                0.99485,                0.65277,                 1.2042,                 1.3005,                 2.1674,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.6228,                  1.336,                 2.4102,                0.99776,                      1,                  0.995,                0.58563,                 1.3294,                  1.726,                 2.2028,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.7989,                 1.4701,                 2.4572,                      1,                0.98471,                  0.995,                0.67375,                 1.1064,                 1.4346,                 2.0983,               0.001208,               0.001208,               0.001208
                     43,                 1.5788,                 1.3593,                 2.4042,                0.99437,                      1,                  0.995,                0.78815,                 1.0243,                 1.1776,                 2.0538,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.5017,                 1.3233,                 2.2978,                0.96851,                      1,                0.98775,                0.75452,                 0.9703,                 1.0259,                 1.9672,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.6606,                 1.3883,                 2.5052,                0.97954,                      1,                0.99426,                0.81518,                0.95682,                0.94285,                 2.0073,              0.0011486,              0.0011486,              0.0011486
